TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
16-11-2022,26,32,29,74,0,6.7,7,310,3,NW
17-11-2022,26,32.2,27.1,86,0,4.5,6,310,2,NW
18-11-2022,24.9,31.5,28.4,78,2,3,5,330,3,NW
19-11-2022,23.8,30.7,27,79,3,5.5,8,300,3,NW
20-11-2022,24.6,32.2,29,76,0,4.4,7,310,3,E 
21-11-2022,25,32.2,28.6,79,9999,7.3,5,310,2,S 
22-11-2022,25.4,31.9,27.7,80,12.4,8.8,4,330,2,C 
23-11-2022,25.3,31.2,27.5,80,1.5,7.7,6,290,2,SE
24-11-2022,25.8,31.4,27.5,82,9999,2.4,6,330,3,E 
25-11-2022,25,31,28.1,76,0,2.7,6,320,2,E 
26-11-2022,24.6,31.4,26.8,85,9999,4.7,5,120,2,SE
27-11-2022,24.2,31,27,84,2.4,1,5,290,2,C 
28-11-2022,24.2,31.6,28.1,76,1.4,3.7,5,340,2,C 
29-11-2022,25.6,32.4,27.8,78,0,7,5,20,2,SE
30-11-2022,24.6,30.4,26.7,86,6.5,7.2,4,360,2,E 
01-12-2022,23.8,31.9,28,77,4.3,2.5,5,290,2,NW
02-12-2022,25,30,27.4,79,9999,7.5,6,340,2,NW
03-12-2022,25.4,32,28.1,79,0,0.3,4,30,2,S 
04-12-2022,24.6,31.7,27.2,86,1,7.5,5,300,2,C 
05-12-2022,24.5,31.8,27.7,80,22.8,5.6,4,350,1,E 
06-12-2022,24.5,32.4,28.6,77,8888,4,5,350,2,N 
07-12-2022,25,31.6,9999,9999,0,9.2,5,20,2,NW
08-12-2022,26,31.2,28.4,79,9999,5.8,5,330,2,N 
09-12-2022,24.4,33.2,28.3,70,9999,0.5,6,310,2,C 
10-12-2022,24.8,32.6,29.1,73,1,7,5,300,2,NW
11-12-2022,24.5,33.2,28.7,74,0,8.4,7,340,2,W 
12-12-2022,23.8,32.4,28.1,77,19.3,7.2,6,320,2,SE
13-12-2022,24.7,32.2,28.9,79,4.7,9.4,6,310,2,E 
14-12-2022,25.4,31.7,28.6,76,9999,9.2,4,10,2,E 
